earnings_date,name,short_float,symbol,datetime,url
2022-02-16,"UFP Industries, Inc.",1.09,UFPI,2022-01-10,https://finance.yahoo.com/quote/UFPI/
2022-02-02,"T-Mobile US, Inc.",1.08,TMUS,2022-01-10,https://finance.yahoo.com/quote/TMUS/
2022-03-23,uCloudlink Group Inc.,0.16,UCL,2022-01-10,https://finance.yahoo.com/quote/UCL/
2022-03-15,Travelzoo,1.75,TZOO,2022-01-10,https://finance.yahoo.com/quote/TZOO/
2022-02-01,"Tetra Technologies, Inc.",2.06,TTI,2022-01-10,https://finance.yahoo.com/quote/TTI/
2022-01-27,Textron Inc.,2.21,TXT,2022-01-10,https://finance.yahoo.com/quote/TXT/
2022-02-09,"Uber Technologies, Inc.",3.65,UBER,2022-01-10,https://finance.yahoo.com/quote/UBER/
2022-02-02,Thermo Fisher Scientific Inc,0.69,TMO,2022-01-10,https://finance.yahoo.com/quote/TMO/
2022-03-29,"AgEagle Aerial Systems, Inc.",14.4,UAVS,2022-01-10,https://finance.yahoo.com/quote/UAVS/
2022-02-02,"Net 1 UEPS Technologies, Inc.",0.73,UEPS,2022-01-10,https://finance.yahoo.com/quote/UEPS/
2022-01-19,"United Airlines Holdings, Inc.",5.43,UAL,2022-01-10,https://finance.yahoo.com/quote/UAL/
2022-02-02,Tradeweb Markets Inc.,0.66,TW,2022-01-10,https://finance.yahoo.com/quote/TW/
2022-02-15,Twilio Inc.,2.67,TWLO,2022-01-10,https://finance.yahoo.com/quote/TWLO/
2022-02-02,"Universal Logistics Holdings, I",0.28,ULH,2022-01-10,https://finance.yahoo.com/quote/ULH/
2021-11-10,"United-Guardian, Inc.",0.21,UG,2022-01-10,https://finance.yahoo.com/quote/UG/
2022-03-21,"Unity Biotechnology, Inc.",1.6,UBX,2022-01-10,https://finance.yahoo.com/quote/UBX/
2022-01-26,"United Bankshares, Inc.",3.38,UBSI,2022-01-10,https://finance.yahoo.com/quote/UBSI/
2022-01-05,Unifirst Corporation,0.57,UNF,2022-01-10,https://finance.yahoo.com/quote/UNF/
2022-02-23,"Mammoth Energy Services, Inc.",0.53,TUSK,2022-01-10,https://finance.yahoo.com/quote/TUSK/
2022-03-08,"United Natural Foods, Inc.",3.74,UNFI,2022-01-10,https://finance.yahoo.com/quote/UNFI/
2022-03-10,"Ulta Beauty, Inc.",2.18,ULTA,2022-01-10,https://finance.yahoo.com/quote/ULTA/
2022-02-28,Uniti Group Inc.,4.71,UNIT,2022-01-10,https://finance.yahoo.com/quote/UNIT/
2022-02-24,Ur Energy Inc,2.16,URG,2022-01-10,https://finance.yahoo.com/quote/URG/
2022-02-28,"Urban Outfitters, Inc.",4.92,URBN,2022-01-10,https://finance.yahoo.com/quote/URBN/
2021-10-28,"USA Truck, Inc.",0.93,USAK,2022-01-10,https://finance.yahoo.com/quote/USAK/
